# Version 1.00
#
power[dBm]	Trc2_S21[dB]	
-3.468867216804201E+001	2.616391861714349E+001	
-3.467866966741686E+001	2.615499573239057E+001	
-3.466866716679170E+001	2.615546814431765E+001	
-3.465866466616654E+001	2.614482212110907E+001	
-3.464866216554139E+001	2.612361621454915E+001	
-3.463865966491623E+001	2.612134743860928E+001	
-3.462865716429107E+001	2.609790299695608E+001	
-3.461865466366591E+001	2.610977678793468E+001	
-3.460865216304076E+001	2.611226676447332E+001	
-3.459864966241560E+001	2.611981276599128E+001	
-3.458864716179045E+001	2.610710496841901E+001	
-3.457864466116529E+001	2.608981894895489E+001	
-3.456864216054014E+001	2.609479878774468E+001	
-3.455863965991498E+001	2.608821353058997E+001	
-3.454863715928983E+001	2.609206764735290E+001	
-3.453863465866466E+001	2.611357825458847E+001	
-3.452863215803951E+001	2.611103796356442E+001	
-3.451862965741435E+001	2.610429715389903E+001	
-3.450862715678920E+001	2.610245454726088E+001	
-3.449862465616404E+001	2.609199350833644E+001	
-3.448862215553888E+001	2.610171632825609E+001	
-3.447861965491373E+001	2.609619495938467E+001	
-3.446861715428857E+001	2.611606397832216E+001	
-3.445861465366342E+001	2.612681310399745E+001	
-3.444861215303826E+001	2.614753538650021E+001	
-3.443860965241311E+001	2.615595659748207E+001	
-3.442860715178794E+001	2.615832605040876E+001	
-3.441860465116279E+001	2.616604845719252E+001	
-3.440860215053763E+001	2.617423330101241E+001	
-3.439859964991248E+001	2.617791121640295E+001	
-3.438859714928732E+001	2.617364259358665E+001	
-3.437859464866217E+001	2.616824646333864E+001	
-3.436859214803701E+001	2.616124785511252E+001	
-3.435858964741185E+001	2.616355072777640E+001	
-3.434858714678670E+001	2.616069155594222E+001	
-3.433858464616154E+001	2.613822783232176E+001	
-3.432858214553639E+001	2.611357917240454E+001	
-3.431857964491123E+001	2.611522561115633E+001	
-3.430857714428607E+001	2.610557871921813E+001	
-3.429857464366091E+001	2.611601543045282E+001	
-3.428857214303576E+001	2.612969227718421E+001	
-3.427856964241060E+001	2.614098096485055E+001	
-3.426856714178545E+001	2.613010556819857E+001	
-3.425856464116029E+001	2.613329991648950E+001	
-3.424856214053514E+001	2.613112469151156E+001	
-3.423855963990998E+001	2.612673529992662E+001	
-3.422855713928482E+001	2.612285147641610E+001	
